epoch,test_acc,test_prec,test_recall,test_f1,test_auc,test_loss,cosine_threshold,entropy_threshold
1,63.61607142857143,56.25712275505066,97.22222089767456,73.32242225859247,70.44933832908164,0.6107264906167984,0.622459352016449,0.622459352016449
2,63.973214285714285,56.49557113647461,97.14506268501282,73.4975369458128,73.05803571428571,0.6028024107217789,0.622459352016449,0.622459352016449
3,70.66964285714286,61.532360315322876,95.03598809242249,76.93927693927694,75.4050143494898,0.5929081108835008,0.622459352016449,0.622459352016449
4,73.88392857142857,64.25127387046814,94.52202916145325,78.84267631103074,75.79803093112245,0.5721929967403412,0.622459352016449,0.622459352016449
5,71.83035714285714,62.204962968826294,96.8828022480011,77.96018162766329,76.0685586734694,0.5685612658659617,0.622459352016449,0.622459352016449
6,73.66071428571429,65.72422981262207,88.08212280273438,77.44648318042813,76.65808354591836,0.5607936812771691,0.622459352016449,0.622459352016449
7,73.34821428571429,64.61106538772583,91.20994210243225,77.8642936596218,75.68315529336735,0.5598682214816412,0.622459352016449,0.622459352016449
8,73.83928571428572,64.39140439033508,93.81604790687561,78.67540029112081,76.93263711734694,0.5591362234618928,0.622459352016449,0.622459352016449
9,74.375,65.05616307258606,93.2519257068634,78.91256429096252,76.61248405612244,0.5578731977277331,0.622459352016449,0.622459352016449
10,71.5625,62.12461590766907,95.71839570999146,77.59409074920858,76.35395408163265,0.5717907779746585,0.622459352016449,0.622459352016449
11,72.8125,63.128745555877686,95.78383564949036,78.38125665601704,75.5870137117347,0.5686056382126279,0.622459352016449,0.622459352016449
12,73.25892857142857,63.74262571334839,95.00749707221985,78.50735557947614,76.2562181122449,0.5601386460993025,0.622459352016449,0.622459352016449
13,73.16964285714286,63.49782347679138,95.54423093795776,78.55868712094185,76.55281409438776,0.5610099219613605,0.622459352016449,0.622459352016449
14,72.94642857142857,63.645392656326294,94.01321411132812,78.13852813852814,75.93598533163265,0.5643227994441986,0.622459352016449,0.622459352016449
15,71.51785714285714,62.07051873207092,95.96012234687805,77.6140350877193,75.3746412627551,0.5683389786216948,0.622459352016449,0.622459352016449
16,69.55357142857143,60.45805811882019,96.79319858551025,76.57967032967034,74.12468112244896,0.582395957575904,0.622459352016449,0.622459352016449
17,73.57142857142858,63.81903886795044,95.50480246543884,78.8117394416607,76.23381696428571,0.5602621999051836,0.622459352016449,0.622459352016449
18,72.94642857142857,63.26656937599182,95.67177891731262,78.44950213371266,76.36670918367348,0.5612852705849541,0.622459352016449,0.622459352016449
19,72.5,62.789952754974365,96.30764722824097,78.27926657263752,75.32095025510203,0.5652897341383828,0.622459352016449,0.622459352016449
20,73.08035714285714,63.37080001831055,95.7951545715332,78.54855923159018,76.326171875,0.5603711754083633,0.622459352016449,0.622459352016449
21,71.91964285714286,62.29942440986633,96.21269702911377,77.90656831752723,76.01985012755102,0.5662802855173746,0.622459352016449,0.622459352016449
22,73.70535714285714,64.23841118812561,94.42002177238464,78.68259138617445,77.00629783163265,0.5575936635335287,0.622459352016449,0.622459352016449
23,71.11607142857143,61.62325739860535,96.65037989616394,77.49565217391304,74.96659757653062,0.5688372933202319,0.622459352016449,0.622459352016449
24,73.03571428571428,63.32405209541321,95.91594338417053,78.53589196872778,76.55943080357144,0.5609569102525711,0.622459352016449,0.622459352016449
25,72.63392857142857,63.01220655441284,95.7200825214386,78.254700248315,76.59088010204083,0.5607138673464457,0.622459352016449,0.622459352016449
26,70.04464285714286,60.7993483543396,96.6917872428894,76.85408761641945,73.6571269132653,0.57736450764868,0.622459352016449,0.622459352016449
27,71.60714285714286,62.11197376251221,96.41449451446533,77.74667599720084,76.4154974489796,0.565788620048099,0.622459352016449,0.622459352016449
28,72.63392857142857,63.02587389945984,95.90665102005005,78.28551186680835,76.25928730867346,0.5670791533258226,0.622459352016449,0.622459352016449
29,73.30357142857142,63.80194425582886,94.80453133583069,78.50467289719626,76.71301020408163,0.5617549121379852,0.622459352016449,0.622459352016449
30,71.69642857142857,62.18935251235962,96.13099694252014,77.75438596491227,76.09857302295919,0.5668240620030297,0.622459352016449,0.622459352016449
31,73.39285714285714,63.70660066604614,95.46089172363281,78.6838340486409,76.61224489795919,0.5577845308515761,0.622459352016449,0.622459352016449
32,71.02678571428571,61.627280712127686,96.1954414844513,77.36309731426579,74.72209821428572,0.5715844581524531,0.622459352016449,0.622459352016449
33,72.5,62.91428208351135,95.72437405586243,78.17150956768249,75.81879783163265,0.5635746998919381,0.622459352016449,0.622459352016449
34,70.49107142857143,61.151039600372314,96.60496115684509,77.10426047800485,74.05117984693878,0.5740687035852008,0.622459352016449,0.622459352016449
35,71.91964285714286,62.42486834526062,95.73858976364136,77.81305114638448,75.38751594387753,0.5661466767390569,0.622459352016449,0.622459352016449
36,73.03571428571428,64.426189661026,90.8743679523468,77.59643916913946,75.72712053571428,0.5607763710949156,0.622459352016449,0.622459352016449
37,73.08035714285714,64.15906548500061,92.23023653030396,77.88778877887789,75.90696747448979,0.5608578440215852,0.622459352016449,0.622459352016449
